sex_male,race_white,years_experience,referred,gcse,a_level,russell_group,honours,years_volunteer,income,it_skills,years_gaps,quality_cv,employed_yes
1,1,5,1,7,2,0,0,1,28554.97908363694,3,0,2,1
1,0,5,1,7,3,1,0,0,30581.342099446094,2,0,0,1
1,0,5,1,8,4,0,0,0,13390.336836579741,3,0,2,1
1,1,6,1,9,4,1,1,1,34458.259579081896,2,0,1,1
0,1,5,0,6,2,0,1,0,24370.167778230803,2,1,2,0
1,1,9,0,8,3,1,1,0,35030.59176108077,3,0,3,1
0,0,5,1,6,4,1,1,1,34478.33142442173,2,0,0,0
1,0,2,0,6,2,0,0,0,16930.56342607035,2,0,2,0
1,1,7,1,7,3,1,1,0,45597.510038186156,3,0,2,1
0,0,1,1,7,4,1,1,1,18145.642488819387,2,1,1,0
1,0,4,0,4,4,1,1,0,17340.966078739235,2,0,3,0
0,1,7,1,6,4,1,1,0,28104.311360247102,1,1,3,1
0,0,8,0,6,3,0,1,0,25945.50272775427,3,5,2,0
1,0,0,0,5,3,0,1,0,14767.868747197677,2,0,2,0
0,0,5,0,6,3,0,0,1,26635.21566430474,1,1,1,0
0,1,2,0,7,3,0,0,0,28634.548792757312,1,0,2,0
0,0,2,0,6,3,0,1,1,18492.548232329173,2,1,2,0
0,1,10,0,6,2,0,0,2,33834.35128123757,2,4,2,0
1,1,5,1,7,3,0,1,0,29892.096885254818,0,0,1,1
1,1,2,1,5,3,0,1,1,23631.86486432176,2,0,3,0
0,1,7,1,7,3,0,0,0,32713.40788924814,1,2,1,0
0,1,6,1,8,4,1,1,1,29454.539950899853,1,0,3,1
0,0,5,1,8,3,1,1,1,26469.97320502092,0,0,1,1
0,0,4,1,4,2,0,1,2,28033.923234771686,1,0,2,0
1,1,3,1,9,3,1,1,2,28574.63870625963,0,0,2,1
0,1,6,0,10,3,1,1,0,28684.92172255168,0,3,1,0
1,1,8,1,8,3,1,1,1,34092.85895245759,3,0,2,1
0,0,3,1,8,4,1,1,1,26587.62417188965,0,0,3,0
0,1,5,1,4,2,0,0,0,25152.92343950238,1,2,0,0
0,1,6,1,7,3,1,0,2,37077.91103826989,0,2,3,0
1,1,6,1,9,4,1,0,1,33240.73674052587,3,0,1,1
0,1,2,0,6,4,0,1,0,23883.171655142563,1,0,1,0
1,0,7,0,7,3,0,1,1,36116.8790771154,3,0,3,0
1,1,4,1,7,4,1,1,0,31744.40915651836,2,0,2,1
1,0,3,1,5,3,0,1,0,27089.793751938338,3,0,1,0
0,1,7,0,8,4,1,1,2,40367.63662499053,2,1,3,1
0,0,6,0,5,3,0,1,0,20364.34669900821,2,3,2,0
1,0,6,1,6,3,0,1,0,25054.174630357953,2,0,3,1
0,0,4,1,5,0,0,1,0,20605.9271048094,1,0,1,0
1,0,5,1,6,2,0,0,1,23725.591018786457,2,3,2,0
0,0,4,0,7,4,1,0,3,33433.30413925491,3,1,2,0
1,1,7,1,9,3,0,1,0,24729.33169755999,2,0,1,1
0,1,0,1,7,3,0,1,0,16583.854783488274,1,0,2,0
1,1,0,1,9,3,0,0,1,16650.129596677063,3,0,1,0
1,0,4,1,6,2,0,0,0,20965.10866680032,2,1,2,0
0,0,4,0,6,4,0,1,1,25376.775999278318,0,1,2,0
0,1,9,1,5,4,0,1,0,20476.62589734904,1,3,1,1
0,1,4,1,6,3,0,0,0,32038.815378257816,1,2,2,0
0,1,4,0,10,4,1,1,0,32878.98356445466,2,0,2,0
1,0,1,1,7,3,1,1,3,19881.42597283707,2,0,1,0
1,0,3,0,7,2,0,0,0,36619.28045030571,1,0,1,0
1,1,6,1,7,4,1,1,0,44708.41362308993,3,0,2,1
0,1,7,0,6,3,0,1,0,17422.532393303212,2,1,2,0
1,1,5,0,7,4,0,0,0,32652.36977405959,2,0,3,1
1,1,5,1,8,4,1,1,0,26449.72425600992,1,0,3,1
