target,model,true,pred_low,pred_moderate,pred_high
sodium_sensitivity,tabnet,low,17026,9141,6123
sodium_sensitivity,tabnet,moderate,1349,2936,2811
sodium_sensitivity,tabnet,high,110,406,743
sodium_sensitivity,rules,low,14048,17509,733
sodium_sensitivity,rules,moderate,1388,5062,646
sodium_sensitivity,rules,high,136,838,285
potassium_sensitivity,tabnet,low,27909,7842,6488
potassium_sensitivity,tabnet,moderate,1539,1282,1728
potassium_sensitivity,tabnet,high,889,700,1426
potassium_sensitivity,rules,low,26314,11198,4727
potassium_sensitivity,rules,moderate,1487,1571,1491
potassium_sensitivity,rules,high,843,894,1278
protein_restriction,tabnet,low,16993,10229,13386
protein_restriction,tabnet,moderate,1449,4198,1743
protein_restriction,tabnet,high,463,504,740
protein_restriction,rules,low,27829,4506,8273
protein_restriction,rules,moderate,2706,795,3889
protein_restriction,rules,high,1003,218,486
carb_sensitivity,tabnet,low,26894,7499,3106
carb_sensitivity,tabnet,moderate,2069,2651,2123
carb_sensitivity,tabnet,high,1051,1757,2380
carb_sensitivity,rules,low,13100,13103,11296
carb_sensitivity,rules,moderate,1070,1989,3784
carb_sensitivity,rules,high,584,1313,3291
