target,model,true,pred_low,pred_moderate,pred_high
sodium_sensitivity,tabnet,low,19626,7915,4749
sodium_sensitivity,tabnet,moderate,1849,2840,2407
sodium_sensitivity,tabnet,high,161,445,653
sodium_sensitivity,rules,low,14048,17509,733
sodium_sensitivity,rules,moderate,1388,5062,646
sodium_sensitivity,rules,high,136,838,285
potassium_sensitivity,tabnet,low,30630,6807,4802
potassium_sensitivity,tabnet,moderate,1824,1214,1511
potassium_sensitivity,tabnet,high,1052,669,1294
potassium_sensitivity,rules,low,26314,11198,4727
potassium_sensitivity,rules,moderate,1487,1571,1491
potassium_sensitivity,rules,high,843,894,1278
protein_restriction,tabnet,low,24065,7545,8998
protein_restriction,tabnet,moderate,2320,3721,1349
protein_restriction,tabnet,high,752,409,546
protein_restriction,rules,low,27829,4506,8273
protein_restriction,rules,moderate,2706,795,3889
protein_restriction,rules,high,1003,218,486
carb_sensitivity,tabnet,low,29389,5862,2248
carb_sensitivity,tabnet,moderate,2476,2358,2009
carb_sensitivity,tabnet,high,1265,1507,2416
carb_sensitivity,rules,low,13100,13103,11296
carb_sensitivity,rules,moderate,1070,1989,3784
carb_sensitivity,rules,high,584,1313,3291
