target,group,n,feature,mean_attribution
sodium_sensitivity,all,40645,age,0.0392
sodium_sensitivity,all,40645,sex_male,0.0603
sodium_sensitivity,all,40645,has_htn,0.1471
sodium_sensitivity,all,40645,has_dm,0.0025
sodium_sensitivity,all,40645,has_ckd,0.0
sodium_sensitivity,all,40645,serum_sodium,0.0185
sodium_sensitivity,all,40645,serum_potassium,0.0106
sodium_sensitivity,all,40645,creatinine,0.0205
sodium_sensitivity,all,40645,egfr,0.2097
sodium_sensitivity,all,40645,hba1c,0.0323
sodium_sensitivity,all,40645,fbs,0.0263
sodium_sensitivity,all,40645,sbp,0.3767
sodium_sensitivity,all,40645,dbp,0.0001
sodium_sensitivity,all,40645,bmi,0.0562
sodium_sensitivity,predicted_low,22846,age,0.0605
sodium_sensitivity,predicted_low,22846,sex_male,0.0322
sodium_sensitivity,predicted_low,22846,has_htn,0.1614
sodium_sensitivity,predicted_low,22846,has_dm,0.0019
sodium_sensitivity,predicted_low,22846,has_ckd,0.0
sodium_sensitivity,predicted_low,22846,serum_sodium,0.0195
sodium_sensitivity,predicted_low,22846,serum_potassium,0.0016
sodium_sensitivity,predicted_low,22846,creatinine,0.0327
sodium_sensitivity,predicted_low,22846,egfr,0.1688
sodium_sensitivity,predicted_low,22846,hba1c,0.0286
sodium_sensitivity,predicted_low,22846,fbs,0.0307
sodium_sensitivity,predicted_low,22846,sbp,0.4209
sodium_sensitivity,predicted_low,22846,dbp,0.0001
sodium_sensitivity,predicted_low,22846,bmi,0.0412
sodium_sensitivity,predicted_moderate,8545,age,0.0168
sodium_sensitivity,predicted_moderate,8545,sex_male,0.0708
sodium_sensitivity,predicted_moderate,8545,has_htn,0.1345
sodium_sensitivity,predicted_moderate,8545,has_dm,0.0014
sodium_sensitivity,predicted_moderate,8545,has_ckd,0.0
sodium_sensitivity,predicted_moderate,8545,serum_sodium,0.0145
sodium_sensitivity,predicted_moderate,8545,serum_potassium,0.0091
sodium_sensitivity,predicted_moderate,8545,creatinine,0.0091
sodium_sensitivity,predicted_moderate,8545,egfr,0.2906
sodium_sensitivity,predicted_moderate,8545,hba1c,0.0396
sodium_sensitivity,predicted_moderate,8545,fbs,0.0231
sodium_sensitivity,predicted_moderate,8545,sbp,0.31
sodium_sensitivity,predicted_moderate,8545,dbp,0.0001
sodium_sensitivity,predicted_moderate,8545,bmi,0.0805
sodium_sensitivity,predicted_high,9254,age,0.0075
sodium_sensitivity,predicted_high,9254,sex_male,0.1199
sodium_sensitivity,predicted_high,9254,has_htn,0.1234
sodium_sensitivity,predicted_high,9254,has_dm,0.005
sodium_sensitivity,predicted_high,9254,has_ckd,0.0
sodium_sensitivity,predicted_high,9254,serum_sodium,0.0197
sodium_sensitivity,predicted_high,9254,serum_potassium,0.0341
sodium_sensitivity,predicted_high,9254,creatinine,0.0009
sodium_sensitivity,predicted_high,9254,egfr,0.2363
sodium_sensitivity,predicted_high,9254,hba1c,0.0345
sodium_sensitivity,predicted_high,9254,fbs,0.0183
sodium_sensitivity,predicted_high,9254,sbp,0.3295
sodium_sensitivity,predicted_high,9254,dbp,0.0003
sodium_sensitivity,predicted_high,9254,bmi,0.0706
potassium_sensitivity,all,49803,age,0.0953
potassium_sensitivity,all,49803,sex_male,0.0741
potassium_sensitivity,all,49803,has_htn,0.0033
potassium_sensitivity,all,49803,has_dm,0.0013
potassium_sensitivity,all,49803,has_ckd,0.1183
potassium_sensitivity,all,49803,serum_sodium,0.0224
potassium_sensitivity,all,49803,serum_potassium,0.3613
potassium_sensitivity,all,49803,creatinine,0.0019
potassium_sensitivity,all,49803,egfr,0.1562
potassium_sensitivity,all,49803,hba1c,0.0001
potassium_sensitivity,all,49803,fbs,0.0623
potassium_sensitivity,all,49803,sbp,0.0673
potassium_sensitivity,all,49803,dbp,0.0116
potassium_sensitivity,all,49803,bmi,0.0246
potassium_sensitivity,predicted_low,32445,age,0.1076
potassium_sensitivity,predicted_low,32445,sex_male,0.0932
potassium_sensitivity,predicted_low,32445,has_htn,0.0027
potassium_sensitivity,predicted_low,32445,has_dm,0.0
potassium_sensitivity,predicted_low,32445,has_ckd,0.143
potassium_sensitivity,predicted_low,32445,serum_sodium,0.0197
potassium_sensitivity,predicted_low,32445,serum_potassium,0.3398
potassium_sensitivity,predicted_low,32445,creatinine,0.0012
potassium_sensitivity,predicted_low,32445,egfr,0.1267
potassium_sensitivity,predicted_low,32445,hba1c,0.0001
potassium_sensitivity,predicted_low,32445,fbs,0.078
potassium_sensitivity,predicted_low,32445,sbp,0.0629
potassium_sensitivity,predicted_low,32445,dbp,0.0045
potassium_sensitivity,predicted_low,32445,bmi,0.0205
potassium_sensitivity,predicted_moderate,10934,age,0.0923
potassium_sensitivity,predicted_moderate,10934,sex_male,0.0351
potassium_sensitivity,predicted_moderate,10934,has_htn,0.0035
potassium_sensitivity,predicted_moderate,10934,has_dm,0.004
potassium_sensitivity,predicted_moderate,10934,has_ckd,0.0823
potassium_sensitivity,predicted_moderate,10934,serum_sodium,0.0282
potassium_sensitivity,predicted_moderate,10934,serum_potassium,0.4071
potassium_sensitivity,predicted_moderate,10934,creatinine,0.0005
potassium_sensitivity,predicted_moderate,10934,egfr,0.1744
potassium_sensitivity,predicted_moderate,10934,hba1c,0.0
potassium_sensitivity,predicted_moderate,10934,fbs,0.0388
potassium_sensitivity,predicted_moderate,10934,sbp,0.0843
potassium_sensitivity,predicted_moderate,10934,dbp,0.0145
potassium_sensitivity,predicted_moderate,10934,bmi,0.035
potassium_sensitivity,predicted_high,6424,age,0.0383
potassium_sensitivity,predicted_high,6424,sex_male,0.0443
potassium_sensitivity,predicted_high,6424,has_htn,0.0061
potassium_sensitivity,predicted_high,6424,has_dm,0.003
potassium_sensitivity,predicted_high,6424,has_ckd,0.0545
potassium_sensitivity,predicted_high,6424,serum_sodium,0.026
