target,model,true,pred_low,pred_moderate,pred_high
sodium_sensitivity,tabnet,low,20606,6037,5647
sodium_sensitivity,tabnet,moderate,2039,2197,2860
sodium_sensitivity,tabnet,high,201,311,747
sodium_sensitivity,rules,low,14048,17509,733
sodium_sensitivity,rules,moderate,1388,5062,646
sodium_sensitivity,rules,high,136,838,285
potassium_sensitivity,tabnet,low,29757,8377,4105
potassium_sensitivity,tabnet,moderate,1700,1630,1219
potassium_sensitivity,tabnet,high,988,927,1100
potassium_sensitivity,rules,low,26314,11198,4727
potassium_sensitivity,rules,moderate,1487,1571,1491
potassium_sensitivity,rules,high,843,894,1278
protein_restriction,tabnet,low,21728,7951,10929
protein_restriction,tabnet,moderate,2025,3747,1618
protein_restriction,tabnet,high,651,419,637
protein_restriction,rules,low,27829,4506,8273
protein_restriction,rules,moderate,2706,795,3889
protein_restriction,rules,high,1003,218,486
carb_sensitivity,tabnet,low,28671,4685,4143
carb_sensitivity,tabnet,moderate,2346,1800,2697
carb_sensitivity,tabnet,high,1178,1139,2871
carb_sensitivity,rules,low,13100,13103,11296
carb_sensitivity,rules,moderate,1070,1989,3784
carb_sensitivity,rules,high,584,1313,3291
