target,model,metric,value,ci_low,ci_high,diff_vs_rules_ci
sodium_sensitivity,tabnet,f1_macro,0.3902,0.3832,0.3972,"[0.0093, 0.0274]"
sodium_sensitivity,tabnet,balanced_accuracy,0.5137,0.501,0.5259,"[0.0434, 0.0677]"
sodium_sensitivity,tabnet,cohen_kappa,0.1748,0.1662,0.1833,"[0.0466, 0.0642]"
sodium_sensitivity,tabnet,quadratic_kappa,0.2284,0.2163,0.2406,"[0.0265, 0.045]"
sodium_sensitivity,tabnet,auroc_ovr_macro,0.7557,0.7483,0.763,
sodium_sensitivity,rules,f1_macro,0.3713,0.3612,0.3824,
sodium_sensitivity,rules,balanced_accuracy,0.4583,0.4472,0.4699,
sodium_sensitivity,rules,cohen_kappa,0.1196,0.1101,0.1281,
sodium_sensitivity,rules,quadratic_kappa,0.1926,0.1809,0.2051,
potassium_sensitivity,tabnet,f1_macro,0.4135,0.4077,0.4193,"[0.0233, 0.0315]"
potassium_sensitivity,tabnet,balanced_accuracy,0.4759,0.4677,0.4842,"[0.005, 0.0184]"
potassium_sensitivity,tabnet,cohen_kappa,0.1714,0.1636,0.1794,"[0.0331, 0.0435]"
potassium_sensitivity,tabnet,quadratic_kappa,0.2444,0.2333,0.2559,"[0.0157, 0.0266]"
potassium_sensitivity,tabnet,auroc_ovr_macro,0.721,0.7139,0.728,
potassium_sensitivity,rules,f1_macro,0.3861,0.3804,0.3922,
potassium_sensitivity,rules,balanced_accuracy,0.4641,0.4558,0.4725,
potassium_sensitivity,rules,cohen_kappa,0.1331,0.1258,0.1405,
potassium_sensitivity,rules,quadratic_kappa,0.2232,0.2129,0.2338,
protein_restriction,tabnet,f1_macro,0.3794,0.3744,0.3842,"[0.0523, 0.0648]"
protein_restriction,tabnet,balanced_accuracy,0.4718,0.463,0.481,"[0.0999, 0.1266]"
protein_restriction,tabnet,cohen_kappa,0.1425,0.1354,0.1492,"[0.0436, 0.057]"
protein_restriction,tabnet,quadratic_kappa,0.0643,0.0585,0.0706,"[-0.094, -0.0759]"
protein_restriction,tabnet,auroc_ovr_macro,0.6726,0.6663,0.6798,
protein_restriction,rules,f1_macro,0.3208,0.3164,0.3251,
protein_restriction,rules,balanced_accuracy,0.3592,0.3507,0.367,
protein_restriction,rules,cohen_kappa,0.0921,0.086,0.098,
protein_restriction,rules,quadratic_kappa,0.1495,0.1413,0.1578,
carb_sensitivity,tabnet,f1_macro,0.4857,0.4792,0.4918,"[0.1622, 0.1748]"
carb_sensitivity,tabnet,balanced_accuracy,0.527,0.5201,0.5337,"[0.0945, 0.1101]"
carb_sensitivity,tabnet,cohen_kappa,0.2988,0.2892,0.3082,"[0.2026, 0.2187]"
carb_sensitivity,tabnet,quadratic_kappa,0.4182,0.4066,0.43,"[0.2381, 0.2573]"
carb_sensitivity,tabnet,auroc_ovr_macro,0.7748,0.7688,0.7802,
carb_sensitivity,rules,f1_macro,0.3173,0.3122,0.3224,
carb_sensitivity,rules,balanced_accuracy,0.4248,0.4187,0.4309,
carb_sensitivity,rules,cohen_kappa,0.0884,0.0827,0.0935,
carb_sensitivity,rules,quadratic_kappa,0.1706,0.1622,0.1786,
