target,breakdown,group,n,tabnet_f1_macro,rules_f1_macro,tabnet_balanced_accuracy,rules_balanced_accuracy,tabnet_auroc
sodium_sensitivity,comorbidity,none,13136,0.4356,0.3247,0.4492,0.3347,0.7898
sodium_sensitivity,comorbidity,HTN only,11931,0.3345,0.1703,0.4344,0.3699,0.6551
sodium_sensitivity,comorbidity,HTN+DM+CKD,3816,0.3116,0.2084,0.4716,0.3871,0.6761
sodium_sensitivity,comorbidity,HTN+CKD,3571,0.3177,0.2061,0.4671,0.3936,0.6846
sodium_sensitivity,comorbidity,HTN+DM,5570,0.329,0.1731,0.4696,0.3763,0.663
sodium_sensitivity,comorbidity,DM only,1691,0.4128,0.3191,0.4203,0.3351,0.7093
sodium_sensitivity,comorbidity,CKD only,667,0.4688,0.3028,0.476,0.3263,0.7661
sodium_sensitivity,comorbidity,DM+CKD,263,0.4468,0.3288,0.4902,0.344,0.6723
sodium_sensitivity,era,2008-2019,37840,0.3885,0.3678,0.5151,0.458,0.7411
sodium_sensitivity,era,2020-2022,2805,0.4116,0.4191,0.5041,0.4713,0.729
potassium_sensitivity,comorbidity,none,14885,0.4105,0.3925,0.4301,0.4197,0.6654
potassium_sensitivity,comorbidity,HTN only,14658,0.3949,0.3788,0.4272,0.4279,0.6658
potassium_sensitivity,comorbidity,HTN+DM+CKD,5201,0.292,0.2264,0.413,0.3836,0.6774
potassium_sensitivity,comorbidity,HTN+CKD,4935,0.3105,0.2166,0.4224,0.3858,0.6586
potassium_sensitivity,comorbidity,DM only,2073,0.4111,0.4033,0.4516,0.4415,0.6782
potassium_sensitivity,comorbidity,CKD only,911,0.2688,0.2606,0.4115,0.4484,0.6552
potassium_sensitivity,comorbidity,HTN+DM,6766,0.4052,0.3817,0.4562,0.4318,0.6791
potassium_sensitivity,comorbidity,DM+CKD,374,0.2868,0.2432,0.3852,0.3543,0.6458
potassium_sensitivity,era,2008-2019,45215,0.4134,0.3849,0.4797,0.4675,0.7132
potassium_sensitivity,era,2020-2022,4588,0.4141,0.3971,0.4451,0.4375,0.7002
protein_restriction,comorbidity,none,14908,0.347,0.3694,0.4122,0.3686,0.6173
protein_restriction,comorbidity,HTN only,14588,0.299,0.3494,0.3717,0.3572,0.5602
protein_restriction,comorbidity,HTN+DM+CKD,5193,0.2009,0.0264,0.3531,0.3333,0.6164
protein_restriction,comorbidity,HTN+CKD,4927,0.1868,0.022,0.371,0.3333,0.6246
protein_restriction,comorbidity,DM only,2070,0.2697,0.3534,0.3531,0.3594,0.5513
protein_restriction,comorbidity,CKD only,909,0.197,0.022,0.3767,0.3333,0.5915
protein_restriction,comorbidity,HTN+DM,6736,0.2587,0.3415,0.383,0.3498,0.5538
protein_restriction,comorbidity,DM+CKD,374,0.2051,0.0257,0.3943,0.3333,0.5878
protein_restriction,era,2008-2019,45110,0.3775,0.3188,0.4693,0.358,0.6613
protein_restriction,era,2020-2022,4595,0.3961,0.3416,0.4866,0.3734,0.6599
carb_sensitivity,comorbidity,none,14816,0.4399,0.2899,0.4354,0.3875,0.688
carb_sensitivity,comorbidity,HTN only,14554,0.4285,0.2601,0.4195,0.38,0.6672
carb_sensitivity,comorbidity,HTN+DM+CKD,5180,0.2498,0.2306,0.3735,0.3533,0.6202
carb_sensitivity,comorbidity,HTN+CKD,4901,0.4646,0.3199,0.4623,0.4147,0.7002
carb_sensitivity,comorbidity,DM only,2067,0.2541,0.2222,0.3593,0.339,0.6318
carb_sensitivity,comorbidity,CKD only,909,0.4586,0.3168,0.462,0.3806,0.6784
carb_sensitivity,comorbidity,HTN+DM,6729,0.2506,0.2024,0.373,0.3409,0.6335
carb_sensitivity,comorbidity,DM+CKD,374,0.2227,0.2383,0.3454,0.3487,0.5862
carb_sensitivity,era,2008-2019,44950,0.4851,0.3123,0.5285,0.4229,0.7672
carb_sensitivity,era,2020-2022,4580,0.4907,0.3661,0.514,0.4447,0.7551
