recipe_index,profile,has_htn,has_dm,has_ckd,binding_constraint,ingredient,matched,max_grams,overage_grams,stated_grams,violated
1,ckd,0,0,1,potassium,Potato (Aloo),True,82.9,-2.9,80.0,False
1,ckd,0,0,1,phosphorus,Garlic (Lahsun),True,41.8,-11.8,30.0,False
1,ckd,0,0,1,phosphorus,"Wheat, whole",True,22.2,-2.2,20.0,False
1,ckd,0,0,1,potassium,"Amaranth leaves, green",True,165.7,-15.7,150.0,False
1,ckd,0,0,1,phosphorus,Soybean,True,18.8,-3.8,15.0,False
2,ckd,0,0,1,potassium,Bottle gourd (Lauki),True,300.0,-50.0,250.0,False
2,ckd,0,0,1,potassium,Ginger (Adrak),True,127.5,-97.5,30.0,False
2,ckd,0,0,1,phosphorus,Ghee,True,300.0,-285.0,15.0,False
2,ckd,0,0,1,phosphorus,"Rice, brown",True,16.5,-1.5,15.0,False
2,ckd,0,0,1,phosphorus,Groundnut (Moongphali/Peanut),True,23.4,-3.4,20.0,False
3,ckd,0,0,1,phosphorus,Ragi (Finger millet),True,24.7,-4.7,20.0,False
3,ckd,0,0,1,potassium,Drumstick (Moringa pod),True,139.7,-19.7,120.0,False
3,ckd,0,0,1,potassium,Strawberry,True,300.0,-100.0,200.0,False
3,ckd,0,0,1,phosphorus,Curd (Dahi/Yogurt),True,73.4,-3.4,70.0,False
3,ckd,0,0,1,phosphorus,Garlic (Lahsun),True,41.8,-31.8,10.0,False
4,ckd,0,0,1,phosphorus,Khoya (Mawa),True,31.8,-11.8,20.0,False
4,ckd,0,0,1,phosphorus,"Chicken, breast",True,50.7,-5.7,45.0,False
4,ckd,0,0,1,potassium,"Amaranth leaves, green",True,165.7,-45.7,120.0,False
4,ckd,0,0,1,phosphorus,Sardine (Mathi),True,19.0,-9.0,10.0,False
4,ckd,0,0,1,potassium,Curry leaves (Kadi patta),True,81.2,-71.2,10.0,False
5,dm,0,1,0,potassium,Potato (Aloo),True,300.0,-50.0,250.0,False
5,dm,0,1,0,carbs,Garlic (Lahsun),True,258.9,-238.9,20.0,False
