target,k_missing,n,tabnet_f1_macro,tabnet_balanced_accuracy,tabnet_cohen_kappa,tabnet_quadratic_kappa,tabnet_auroc_ovr_macro,rules_f1_macro,rules_balanced_accuracy,rules_cohen_kappa,rules_quadratic_kappa,tabnet_rules_agreement,rules_frac_fails_closed_lower
sodium_sensitivity,0,40645,0.3901663074640813,0.5136977713061568,0.1748225753626097,0.22844398931800514,0.7556583574378474,0.371302056715058,0.45826235584694125,0.11955733167577132,0.19261502385030138,0.5552,
sodium_sensitivity,1,40645,0.3807,0.5043,0.163,0.2129,0.7469,0.3686,0.4525,0.1204,0.1891,0.5575,0.0055
sodium_sensitivity,2,40645,0.3708,0.4933,0.1509,0.1975,0.7376,0.3659,0.4472,0.1214,0.1861,0.5588,0.0116
sodium_sensitivity,3,40645,0.3615,0.4852,0.1396,0.1829,0.7276,0.3616,0.4416,0.1223,0.1822,0.5609,0.0169
potassium_sensitivity,0,49803,0.41350218618080364,0.47588469150279994,0.17140733289173948,0.24435967335115127,0.7210388293658707,0.38605345352825493,0.46406999574267954,0.13305109341151322,0.22320826852131226,0.8015,
potassium_sensitivity,1,49803,0.4139,0.4686,0.1695,0.2411,0.7126,0.3872,0.4601,0.1325,0.2212,0.8028,0.0148
potassium_sensitivity,2,49803,0.4155,0.4637,0.1696,0.2405,0.7062,0.3888,0.4574,0.1328,0.2203,0.8043,0.029
potassium_sensitivity,3,49803,0.416,0.4575,0.1687,0.2381,0.6993,0.39,0.4541,0.1323,0.2187,0.8057,0.0432
protein_restriction,0,49705,0.37938508735242554,0.47175760686843166,0.14248186985873001,0.06428575076484955,0.6725849022358693,0.32078163387320785,0.3591987130186393,0.09209790855587352,0.14947323975737004,0.5028,
protein_restriction,1,49705,0.3797,0.4711,0.1419,0.0631,0.6714,0.3209,0.3592,0.0921,0.1496,0.5016,0.0005
protein_restriction,2,49705,0.3795,0.4695,0.1407,0.0622,0.6699,0.321,0.359,0.0921,0.1497,0.5022,0.001
protein_restriction,3,49705,0.3801,0.4686,0.1408,0.0627,0.669,0.3211,0.3589,0.0922,0.1497,0.5043,0.0014
carb_sensitivity,0,49530,0.4856684286942015,0.5270051193734612,0.2987585907942547,0.41816601476976933,0.7748429464198331,0.3173005954307678,0.42478437867429086,0.08835597640334847,0.1706311297787877,0.4826,
carb_sensitivity,1,49530,0.4859,0.5231,0.2974,0.4145,0.7696,0.3359,0.4303,0.1004,0.183,0.5109,0.0589
carb_sensitivity,2,49530,0.4861,0.5191,0.2956,0.4093,0.7637,0.3552,0.4363,0.1148,0.1964,0.5453,0.1219
carb_sensitivity,3,49530,0.4858,0.514,0.293,0.4035,0.7572,0.3732,0.4398,0.1301,0.2105,0.5844,0.1901
