feature,threshold,target,swept_value,n_patients,tabnet_mean_p_elevated,rules_frac_elevated
hba1c,5.7,carb_sensitivity,5.358,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.3751,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.3922,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4093,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4264,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4435,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4606,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4777,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.4948,200,0.1191,0.525
hba1c,5.7,carb_sensitivity,5.5119,200,0.1193,0.525
hba1c,5.7,carb_sensitivity,5.529,200,0.1196,0.525
hba1c,5.7,carb_sensitivity,5.5461,200,0.12,0.525
hba1c,5.7,carb_sensitivity,5.5632,200,0.1203,0.525
hba1c,5.7,carb_sensitivity,5.5803,200,0.1206,0.525
hba1c,5.7,carb_sensitivity,5.5974,200,0.1209,0.525
hba1c,5.7,carb_sensitivity,5.6145,200,0.1223,0.525
hba1c,5.7,carb_sensitivity,5.6316,200,0.1239,0.525
hba1c,5.7,carb_sensitivity,5.6487,200,0.1255,0.525
hba1c,5.7,carb_sensitivity,5.6658,200,0.1272,0.525
hba1c,5.7,carb_sensitivity,5.6829,200,0.129,0.525
hba1c,5.7,carb_sensitivity,5.7,200,0.1308,1.0
hba1c,5.7,carb_sensitivity,5.7171,200,0.1315,1.0
hba1c,5.7,carb_sensitivity,5.7342,200,0.1321,1.0
hba1c,5.7,carb_sensitivity,5.7513,200,0.1328,1.0
hba1c,5.7,carb_sensitivity,5.7684,200,0.1334,1.0
hba1c,5.7,carb_sensitivity,5.7855,200,0.1341,1.0
hba1c,5.7,carb_sensitivity,5.8026,200,0.1349,1.0
hba1c,5.7,carb_sensitivity,5.8197,200,0.1362,1.0
hba1c,5.7,carb_sensitivity,5.8368,200,0.1375,1.0
hba1c,5.7,carb_sensitivity,5.8539,200,0.1389,1.0
hba1c,5.7,carb_sensitivity,5.871,200,0.1402,1.0
hba1c,5.7,carb_sensitivity,5.8881,200,0.1416,1.0
hba1c,5.7,carb_sensitivity,5.9052,200,0.1436,1.0
hba1c,5.7,carb_sensitivity,5.9223,200,0.1467,1.0
hba1c,5.7,carb_sensitivity,5.9394,200,0.15,1.0
hba1c,5.7,carb_sensitivity,5.9565,200,0.1534,1.0
hba1c,5.7,carb_sensitivity,5.9736,200,0.1569,1.0
hba1c,5.7,carb_sensitivity,5.9907,200,0.1605,1.0
hba1c,5.7,carb_sensitivity,6.0078,200,0.1635,1.0
hba1c,5.7,carb_sensitivity,6.0249,200,0.1657,1.0
hba1c,5.7,carb_sensitivity,6.042,200,0.1681,1.0
hba1c,7.0,carb_sensitivity,6.58,200,0.4547,1.0
hba1c,7.0,carb_sensitivity,6.601,200,0.4585,1.0
hba1c,7.0,carb_sensitivity,6.622,200,0.4597,1.0
hba1c,7.0,carb_sensitivity,6.643,200,0.4609,1.0
hba1c,7.0,carb_sensitivity,6.664,200,0.4621,1.0
hba1c,7.0,carb_sensitivity,6.685,200,0.4634,1.0
hba1c,7.0,carb_sensitivity,6.706,200,0.4651,1.0
hba1c,7.0,carb_sensitivity,6.727,200,0.4674,1.0
hba1c,7.0,carb_sensitivity,6.748,200,0.4697,1.0
hba1c,7.0,carb_sensitivity,6.769,200,0.4719,1.0
hba1c,7.0,carb_sensitivity,6.79,200,0.4741,1.0
hba1c,7.0,carb_sensitivity,6.811,200,0.4789,1.0
hba1c,7.0,carb_sensitivity,6.832,200,0.4863,1.0
hba1c,7.0,carb_sensitivity,6.853,200,0.4942,1.0
hba1c,7.0,carb_sensitivity,6.874,200,0.5027,1.0
hba1c,7.0,carb_sensitivity,6.895,200,0.5116,1.0
hba1c,7.0,carb_sensitivity,6.916,200,0.5138,1.0
hba1c,7.0,carb_sensitivity,6.937,200,0.5138,1.0
hba1c,7.0,carb_sensitivity,6.958,200,0.5138,1.0
hba1c,7.0,carb_sensitivity,6.979,200,0.5138,1.0
hba1c,7.0,carb_sensitivity,7.0,200,0.5138,1.0
hba1c,7.0,carb_sensitivity,7.021,200,0.5148,1.0
hba1c,7.0,carb_sensitivity,7.042,200,0.5157,1.0
hba1c,7.0,carb_sensitivity,7.063,200,0.5167,1.0
hba1c,7.0,carb_sensitivity,7.084,200,0.5176,1.0
hba1c,7.0,carb_sensitivity,7.105,200,0.5185,1.0
hba1c,7.0,carb_sensitivity,7.126,200,0.5193,1.0
hba1c,7.0,carb_sensitivity,7.147,200,0.5202,1.0
