lr,batch_size,virtual_batch_size,class_balance,target,n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa,quadratic_kappa,auroc_ovr_macro,log_loss,n_train_real,n_train_synthetic,n_val,best_epoch,best_val_balanced_accuracy,fit_seconds
0.001,4096,256,False,sodium_sensitivity,32322,0.4020481405853598,0.3848274697913682,0.3745235839872659,0.3848274697913682,0.2768514750585605,0.4338728361569847,0.07976629282979542,0.0939326690598602,0.5756311877005637,1.137568570389788,129540,0,32322,0,0.3848274697913682,58.1
0.001,4096,256,False,potassium_sensitivity,39098,0.37111872730062917,0.3600693396722188,0.34540290977027516,0.3600693396722188,0.23557955403738925,0.4521511075738951,0.02550263822814325,0.038768038729347865,0.5370120791851788,1.0815447828144344,158576,0,39098,0,0.3600693396722188,67.9
0.001,4096,256,False,protein_restriction,39018,0.3477369419242401,0.3719118882765912,0.3580090006501288,0.3719118882765912,0.2506046898232479,0.3884106691538702,0.03770243358320957,0.0276355245162051,0.565595761061411,1.0985066387150533,158120,0,39018,0,0.3719118882765912,68.7
0.001,4096,256,False,carb_sensitivity,38877,0.7632018931501916,0.42117858713954304,0.5421018045892186,0.42117858713954304,0.4315852408108736,0.7045850226254147,0.2123458412651048,0.3008493151656241,0.7650833210362481,0.6186801138800309,157677,0,38877,45,0.42117858713954304,327.3
0.02,4096,256,False,sodium_sensitivity,32322,0.7865231111936143,0.35840023545798544,0.5010196500412061,0.35840023545798544,0.3447861428523291,0.709315109075598,0.06480842892405181,0.10231566312092999,0.7520640871601829,0.5374738435457503,129540,0,32322,31,0.35840023545798544,201.5
0.02,4096,256,False,potassium_sensitivity,39098,0.8505805923576654,0.3333333333333333,0.2835268641192218,0.3333333333333333,0.30641936405266695,0.7819030925573297,0.0,0.0,0.6617911811523186,0.5078213403543688,158576,0,39098,0,0.3333333333333333,67.8
0.02,4096,256,False,protein_restriction,39018,0.8142395817315086,0.3333333333333333,0.27141319391050284,0.3333333333333333,0.29920325478894727,0.7308693990961752,0.0,0.0,0.5955976564287545,0.5543793008056648,158120,0,39018,0,0.3333333333333333,67.4
0.02,4096,256,False,carb_sensitivity,38877,0.7675232142397819,0.4434561110078988,0.549181421373791,0.4434561110078988,0.43814499452801026,0.7065707093812219,0.24483659461771423,0.36328989032857006,0.772665419960096,0.6110866889459652,157677,0,38877,25,0.4434561110078988,212.9
0.02,4096,256,True,sodium_sensitivity,32322,0.5748716044799208,0.5186451380537712,0.41836740021615343,0.5186451380537712,0.3952225252866722,0.6417656929157713,0.18069209162331368,0.2290643787863612,0.736257784774982,0.9112508939685307,129540,0,32322,22,0.5186451380537712,161.1
0.02,4096,256,True,potassium_sensitivity,39098,0.6591385748631644,0.4821448855594385,0.4146047305612744,0.4821448855594385,0.41737236250756043,0.7149147817787734,0.17589754626168785,0.2447273018175503,0.714957931652806,0.9439053756520235,158576,0,39098,21,0.4821448855594385,190.3
0.02,4096,256,True,protein_restriction,39018,0.523578861038495,0.47015552994421417,0.41569879178364877,0.47015552994421417,0.379847727173619,0.6031313282983016,0.14179486954855036,0.0625506367651939,0.6560407905192864,1.0258028927706686,158120,0,39018,23,0.47015552994421417,201.2
0.02,4096,256,True,carb_sensitivity,38877,0.6736373691385652,0.5353567303039152,0.48105170215731413,0.5353567303039152,0.49279608485224086,0.6956886686545927,0.3089925949980362,0.4284171964999822,0.7649244185219515,0.8995888017706947,157677,0,38877,27,0.5353567303039152,225.2
0.02,16384,1024,False,sodium_sensitivity,32322,0.7862137243982427,0.3339262453927306,0.4226499916854461,0.3339262453927306,0.294902682610315,0.6928541289737111,0.0026436360493272693,0.0024656348623796065,0.6263057061777523,0.6918912164433616,129540,0,32322,1,0.3339262453927306,23.0
