code,ingredient,category,sodium_mg_per_100g,potassium_mg_per_100g,phosphorus_mg_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,moisture,energy_kj_per_100g,calories_per_100g
A001,"Amaranth seed, black",Cereals,6,508,557,14.59,59.98,5.74,7.02,9.89,1490,356
A002,"Amaranth seed, pale brown",Cereals,5,485,534,13.27,61.46,5.56,7.47,9.2,1489,356
A003,Bajra (Pearl millet),Cereals,10,411,296,10.96,61.78,5.43,11.49,8.97,1456,348
A004,Barley,Cereals,17,280,189,10.94,61.29,1.3,15.64,9.77,1321,316
A005,Jowar (Sorghum),Cereals,4,340,274,9.97,67.68,1.73,10.22,9.01,1398,334
A006,"Maize, dry",Cereals,15,286,348,8.8,64.77,3.77,12.24,9.26,1398,334
A007,"Maize, tender",Cereals,1,218,81,3.57,22.69,1.4,3.67,68.29,502,120
A010,Ragi (Finger millet),Cereals,11,408,283,7.16,66.82,1.92,11.18,10.89,1342,321
A013,"Rice, brown",Cereals,8,223,333,9.16,74.8,1.24,4.43,9.33,1480,354
A015,"Rice, milled (white)",Cereals,5,103,96,7.94,78.24,0.52,2.81,9.93,1491,356
A019,"Wheat flour, atta",Cereals,2,315,315,10.57,64.17,1.53,11.36,11.1,1340,320
A020,"Wheat, whole",Cereals,2,315,315,10.59,64.72,1.47,11.23,10.58,1347,322
B001,Bengal gram dal (Chana dal),Pulses,30,846,331,21.55,46.72,5.31,15.15,9.18,1377,329
B002,"Bengal gram, whole (Kabuli chana)",Pulses,37,982,274,18.77,39.56,5.11,25.22,8.56,1201,287
B003,Black gram dal (Urad dal),Pulses,53,830,379,23.06,51.0,1.69,11.93,9.16,1356,324
B004,"Black gram, whole",Pulses,46,1093,379,21.97,43.99,1.58,20.41,8.7,1219,291
B010,Green gram dal (Moong dal),Pulses,27,843,326,23.88,52.59,1.35,9.37,9.77,1363,326
B011,"Green gram, whole",Pulses,22,1132,371,22.53,46.13,1.14,17.04,9.95,1229,294
B013,Lentil (Masoor dal),Pulses,14,618,293,24.35,52.53,0.75,10.43,9.71,1349,322
B017,"Peas, dry (Matar)",Pulses,44,1113,308,20.43,48.93,1.89,17.01,9.33,1269,303
B019,Rajmah (Kidney beans),Pulses,24,1138,386,19.5,48.83,1.68,16.95,9.68,1245,298
B021,Red gram dal (Toor dal),Pulses,22,1078,304,21.7,55.23,1.56,9.06,9.2,1384,331
B024,Soybean,Pulses,4,1775,593,35.58,12.79,19.82,21.55,5.51,1596,381
C001,Agathi leaves,Green Leafy Vegetables,18,543,75,8.01,5.21,1.35,8.6,74.43,295,71
C002,"Amaranth leaves, green",Green Leafy Vegetables,24,341,54,3.29,2.28,0.65,4.41,86.85,128,31
C015,Cabbage,Green Leafy Vegetables,14,114,44,1.36,3.25,0.12,2.76,91.85,90,22
C017,Cauliflower leaves,Green Leafy Vegetables,41,335,43,3.9,3.39,0.42,3.43,87.64,148,35
C018,Colocasia leaves (Arbi leaves),Green Leafy Vegetables,3,648,82,3.42,3.69,1.38,5.6,83.61,182,43
C019,Drumstick leaves (Moringa),Green Leafy Vegetables,29,259,70,6.41,5.62,1.64,8.21,75.65,282,67
C020,Fenugreek leaves (Methi),Green Leafy Vegetables,58,260,44,3.68,2.17,0.83,4.9,86.73,144,34
C025,Lettuce,Green Leafy Vegetables,8,194,28,1.54,3.01,0.27,1.79,92.27,91,22
C026,Mustard leaves (Sarson),Green Leafy Vegetables,30,354,54,3.52,2.41,0.51,3.92,88.17,127,30
C033,Spinach (Palak),Green Leafy Vegetables,58,558,30,2.14,2.05,0.64,2.38,90.31,102,24
D001,Ash gourd (Petha),Other Vegetables,6,108,22,0.79,2.84,0.14,3.37,92.17,73,17
D004,Bitter gourd (Karela),Other Vegetables,10,290,36,1.44,2.82,0.24,3.78,90.87,87,21
D007,Bottle gourd (Lauki),Other Vegetables,9,87,13,0.53,1.68,0.13,2.12,95.17,46,11
D031,Brinjal (Eggplant),Other Vegetables,2,200,34,1.48,3.52,0.32,3.98,90.0,106,25
D033,"Capsicum, green (Bell pepper)",Other Vegetables,2,175,24,1.11,1.84,0.34,2.06,93.89,68,16
D036,Cauliflower (Phool gobhi),Other Vegetables,33,141,51,2.15,2.03,0.44,3.71,90.76,96,23
D039,Cluster beans (Gawar),Other Vegetables,3,211,53,3.55,4.91,0.37,4.83,84.65,168,40
D043,Cucumber,Other Vegetables,6,139,21,0.71,3.48,0.16,2.14,92.96,82,20
D046,Drumstick (Moringa pod),Other Vegetables,42,337,50,2.62,3.76,0.12,6.83,85.39,123,29
D056,Ladies finger (Bhindi/Okra),Other Vegetables,6,249,45,2.08,3.62,0.22,4.08,89.06,115,27
D057,"Mango, green raw",Other Vegetables,3,156,16,0.69,10.59,0.08,3.01,85.14,205,49
D058,Onion stalk (Spring onion),Other Vegetables,11,259,43,2.07,2.99,0.26,5.21,88.35,107,26
D061,"Peas, fresh (Matar)",Other Vegetables,7,296,122,7.25,11.88,0.13,6.32,73.37,340,81
D063,"Plantain, green (Raw banana)",Other Vegetables,4,385,31,1.18,17.58,0.23,3.6,76.15,334,80
D066,Pumpkin (Kaddu),Other Vegetables,4,409,30,0.84,4.0,0.16,2.56,91.85,97,23
D068,Ridge gourd (Tori),Other Vegetables,9,116,28,0.91,1.72,0.14,1.81,94.99,55,13
D075,"Tomato, ripe",Other Vegetables,4,237,20,0.76,3.2,0.25,1.58,93.79,79,19
E001,Apple,Fruits,1,104,11,0.29,13.11,0.64,2.59,83.01,261,62
E012,"Banana, ripe",Fruits,3,358,34,1.23,23.63,0.33,1.94,71.93,440,105
